resources.tasks,Export,CreateFunctionSpace,LoadMesh
1,0.018525728599999996,0.015204736700000002,0.0656503175
2,0.030796584299999995,0.0145191708,0.15011844089999998
4,0.044642058400000004,0.0099384803,0.1764044554
8,0.0632820505,0.006092353900000001,0.1856088851
12,0.0815602674,0.0060671737,0.27595961430000004
16,0.11338395799999998,0.0059194814,0.2641155276
24,0.1620885234,0.0051304936,0.44776367120000005
64,0.3358992848,0.0038953047,0.8182713806
96,0.5656355586000001,0.004098085699999999,0.8372085551999999
128,1.1391791115,0.0042797479,1.1403526783
